"","with","pv_w","without","pv_wo"
"Founded",0.0244700769822254,0.033971786059274,-0.0028857329184992,0.807850862078753
"CurrentHolding",-0.204981876800549,9.742105634969e-34,-0.183220685584526,4.6943882987344e-25
"PID",-0.153390223307979,9.47203884700015e-49,-0.153390223307979,9.47203884700015e-49
"AH_PricePerShareLocal",0.292480495895604,1.21239626495228e-19,0.292480495895604,1.21239626495228e-19
"AH_PruchaseValueMnLocal",0.0933936014707681,0.00829299576771334,0.0933936014707681,0.00829299576771334
"FR_PriceStart",0.0831607680810047,2.335499462629e-15,0.107911858781386,5.05267391131331e-22
"FR_PriceEnd",0.386647749490461,2.14622116553437e-320,0.41445688358451,0
"PriceChangeSinceExitByCamp",0.0281704159559983,0.0682917370309386,0.113201991153192,4.43812142882873e-12
"SPChangeSinceExitByCamp",0.0876214819418756,2.18370106084111e-07,0.0779375263645241,7.50310538738024e-06
"AvgChangeOverPeriodOfInvByAct",0.0953758744299509,8.42100755144101e-15,0.0600241325702714,2.83469530384126e-06
"AvgReturnAnnualisedByAct",0.253826963267061,1.80814879688159e-97,0.194388531188451,4.86196763500446e-50
"AvgSPReturnByAct",-0.209732840323505,1.89109147221356e-66,-0.195151020698803,6.63653186295911e-56
"AvgSPReturnAnnualisedByAct",0.0686526669580702,2.40020090765747e-08,0.0815925156820088,8.82998429475744e-11
"ExcessReturnByAct",0.270723802956117,4.01661144596184e-111,0.207964179664664,2.81005277393584e-58
"ReturnByCamp",0.805060827924574,0,0.76473953429135,0
"ReturnAnnualisedByCamp",0.811065152267258,0,0.785548076529939,0
"SPChangeByCamp",-0.39837162186793,0,-0.369948013596051,7.53908646675256e-271
"SPChangeAnnualisedByCamp",0.0446303095791946,2.17292222269504e-05,0.0512654402149083,9.47390694077798e-06
"NoOfCamp",0.237842247182426,1.53483802820356e-116,0.225980907812102,2.5732586945949e-99
"PositiveReturnByCamp",0.33581026911273,2.63205186890876e-237,0.325578933158806,3.01550490997535e-206
"ExcessReturnByCamp",1,0,1,0
"HitRatioByAct",0.533286276504005,0,0.468708008613259,0
"NoOfCamp3Y",0.232485299336435,2.71424307249378e-111,0.216532885738449,3.85385850847908e-86
"PositiveReturnByCamp3Y",0.260097348102358,8.76496764537154e-140,0.221161466589197,1.62003504852177e-85
"HitRatioByAct3Y",0.260426119539604,3.81679807225952e-140,0.260426119539604,3.81679807225952e-140
"CampByIND",0.218456713064672,3.55106153567613e-98,0.177654793056564,1.82064032775984e-56
"PositiveReturnByIND",0.452736676841374,0,0.469764598376098,0
"HitRatioByIND",0.653972109637874,0,0.653972109637874,0
"CampByIND3Y",0.225279043300857,1.92262149807215e-104,0.187886669180478,9.96277562199155e-62
"PositiveReturnByIND3Y",0.287842238458462,4.09887074645351e-172,0.260623463753619,5.89948986898424e-122
"HitRatioByIND3Y",0.3113454079283,1.54643355008785e-202,0.264869646299893,9.85193675301946e-134
"NoOfInvByIND",0.0504609297254822,1.57696299271246e-06,0.0559620459479605,1.29060737628722e-07
"AvgChangeOverPeriodOfInvByIND",0.0699911605042134,2.67549489456164e-11,0.0893198213511179,4.01076144426192e-16
"AvgReturnAnnualisedByIND",0.029553148869391,0.00494295062040662,0.0653082847426495,4.87364732746704e-09
"AvgSPReturnByIND",-0.110539612698937,5.46195699154931e-26,-0.110539612698937,5.46195699154931e-26
"AvgSPReturnAnnualisedByIND",0.0133737094274631,0.203472574107416,0.0123969424019202,0.264064994664785
"MarketCap",0.342680944086891,3.03392128527982e-245,0.334160589069651,1.48689962430615e-194
"CampByMC",0.200695428299269,7.59381887313513e-83,0.184937810732696,2.78581189694445e-64
"PositiveReturnByMC",0.322758028769921,2.35838156204124e-218,0.314299841478185,1.13840320592446e-181
"HitRatioByMC",0.556189653409332,0,0.483201105375843,0
"CampByMC3Y",0.210132249891904,8.15113242250712e-91,0.197080066635639,1.45907040982626e-70
"PositiveReturnByMC3Y",0.243065281088914,8.73066015450585e-122,0.213085175335403,2.95291801043032e-84
"HitRatioByMC3Y",0.25064968334042,1.24909911382833e-129,0.25064968334042,1.24909911382833e-129
"NoOfInvByMC",0.0728410073848675,4.02788984928051e-12,NA,NA
"AvgChangeOverPeriodOfInvByMC",-0.16038871203233,3.43330128506741e-53,NA,NA
"AvgAnnualisedReturnByMC",0.15711855125177,4.32914952242191e-51,NA,NA
"AvgSPReturnByMC",-0.15930534352961,1.72444175476186e-52,NA,NA
"ActivistAUM",-0.0110815273289179,0.38175861761785,0.0366194975238156,0.00633127118332443
"SeatsProposed",-0.0264337600241251,0.175515427662575,-0.0230904055302566,0.248082000599631
"SeatsGained",-0.0232791499200246,0.236924491095209,-0.0123286895431805,0.535605996124911
